Model Year,Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel
2019,BMW,Mini,JOHN COOPER WORKS CONVERTIBLE,BMX,83,28.1319,44.3572,33.6749,22.061,30.8885,25.3168
2019,Porsche,Porsche,911 Carrera,PRX,102,28.2,42.2,33.1487,22.1,29.5,24.9121
2019,Porsche,Porsche,911 Carrera,PRX,101,25.1,41.6,30.5533,19.9,29.1,23.2007
2019,Porsche,Porsche,911 Carrera 4,PRX,110,28,40.4,32.4871,22,28.4,24.4828
2019,Porsche,Porsche,911 Carrera 4,PRX,109,24.6,40.4,29.854,19.5,28.4,22.7014
2019,Porsche,Porsche,911 Carrera 4 Cabriolet,PRX,112,27.2,39.9,31.7473,21.4,28.1,23.9721
2019,Porsche,Porsche,911 Carrera 4 Cabriolet,PRX,111,24.3,39.5,29.3892,19.3,27.8,22.3791
2019,Porsche,Porsche,911 Carrera 4 GTS,PRX,126,25.1,36.2,29.1178,19.9,25.7,22.1
2019,Porsche,Porsche,911 Carrera 4 GTS,PRX,125,23.1,37.4,27.9005,18.4,26.5,21.3
2019,Porsche,Porsche,911 Carrera 4 GTS Cabriolet,PRX,128,25,35.6,28.868,19.8,25.3,21.9
2019,Porsche,Porsche,911 Carrera 4 GTS Cabriolet,PRX,127,22.9,36.6,27.5387,18.3,25.9,21.1
2019,Porsche,Porsche,911 Carrera 4S,PRX,114,27,39.3,31.426,21.3,27.7,23.7716
2019,Porsche,Porsche,911 Carrera 4S,PRX,113,24.6,39.7,29.68,19.5,27.9,22.556
2019,Porsche,Porsche,911 Carrera 4S Cabriolet,PRX,116,27.3,39.2,31.6194,21.4659,27.6137,23.8559
2019,Porsche,Porsche,911 Carrera 4S Cabriolet,PRX,115,24.3,39.3,29.3392,19.3,27.7,22.3499
2019,Porsche,Porsche,911 Carrera Cabriolet,PRX,104,27.6,40.4,32.1894,21.7,28.4,24.2773
2019,Porsche,Porsche,911 Carrera Cabriolet,PRX,103,24.7,40.8,30.0331,19.6,28.6,22.8334
2019,Porsche,Porsche,911 Carrera GTS,PRX,122,25.9,36.5,29.7936,20.5,25.9,22.6
2019,Porsche,Porsche,911 Carrera GTS,PRX,121,22.7,37.2,27.5286,18.1,26.3,21.1
2019,Porsche,Porsche,911 Carrera GTS Cabriolet,PRX,124,25.1,36,29.0593,19.9,25.5,22.1
